,Playoff Year,Playoff Series,Result,Team,Year,American League Pennant,National League Pennant,Postseason,Games Played,Wins,World Series Champions,April Win Pct
0,2021,World Series,Won,Atlanta Braves,2021,0.0,1.0,1.0,26,12.0,1.0,0.46153846153846156
1,2021,ALCS,Won,Houston Astros,2021,1.0,0.0,1.0,26,14.0,0.0,0.5384615384615384
2,2021,NLCS,Won,Atlanta Braves,2021,0.0,1.0,1.0,26,12.0,1.0,0.46153846153846156
3,2021,ALDS1,Won,Houston Astros,2021,1.0,0.0,1.0,26,14.0,0.0,0.5384615384615384
4,2021,ALDS2,Won,Boston Red Sox,2021,0.0,0.0,1.0,27,17.0,0.0,0.6296296296296297
5,2021,NLDS1,Won,Atlanta Braves,2021,0.0,1.0,1.0,26,12.0,1.0,0.46153846153846156
6,2021,NLDS2,Won,Los Angeles Dodgers,2021,0.0,0.0,1.0,27,16.0,0.0,0.5925925925925926
7,2021,ALWC,Won,Boston Red Sox,2021,0.0,0.0,1.0,27,17.0,0.0,0.6296296296296297
8,2021,NLWC,Won,Los Angeles Dodgers,2021,0.0,0.0,1.0,27,16.0,0.0,0.5925925925925926
9,2019,World Series,Won,Washington Nationals,2019,0.0,1.0,1.0,25,11.0,1.0,0.44
10,2019,ALCS,Won,Houston Astros,2019,1.0,0.0,1.0,26,17.0,0.0,0.6538461538461539
11,2019,NLCS,Won,Washington Nationals,2019,0.0,1.0,1.0,25,11.0,1.0,0.44
12,2019,ALDS1,Won,Houston Astros,2019,1.0,0.0,1.0,26,17.0,0.0,0.6538461538461539
13,2019,ALDS2,Won,New York Yankees,2019,0.0,0.0,1.0,26,16.0,0.0,0.6153846153846154
14,2019,NLDS1,Won,Washington Nationals,2019,0.0,1.0,1.0,25,11.0,1.0,0.44
15,2019,NLDS2,Won,St. Louis Cardinals,2019,0.0,0.0,1.0,25,18.0,0.0,0.72
16,2019,ALWC,Won,Tampa Bay Rays,2019,0.0,0.0,1.0,24,16.0,0.0,0.6666666666666666
17,2019,NLWC,Won,Washington Nationals,2019,0.0,1.0,1.0,25,11.0,1.0,0.44
18,2018,World Series,Won,Boston Red Sox,2018,1.0,0.0,1.0,25,19.0,1.0,0.76
19,2018,ALCS,Won,Boston Red Sox,2018,1.0,0.0,1.0,25,19.0,1.0,0.76
